Movie Title,Year,Score,Director,Synopsis,Cast,Genre,Critic_Consensus,Platform
The Hitchhiker's Guide to the Galaxy,2005,60,Garth Jennings, Arthur Dent (Martin Freeman) is trying to prevent his house from being bulldozed when his friend Ford Prefect (Mos Def)... [More],"Martin Freeman, Mos Def, Sam Rockwell, Zooey Deschanel",scifi,"A frantic and occasional funny adaptation of Douglas Adams' novel. However, it may have those unfamiliar with the source material scratching their heads.",Public
The Endless,2017,92,"Aaron Moorhead, Justin Benson", Two brothers receive a cryptic video message inspiring them to revisit the UFO death cult they escaped a decade earlier.... [More],"Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington",scifi,"The Endless benefits from its grounded approach to an increasingly bizarre story, elevated by believable performances by filmmakers Justin Benson and Aaron Moorhead.",Public
Timecrimes,2007,90,Nacho Vigalondo," Nacho Vigalondo's time-travel thriller opens with Hector spying on a beautiful woman undressing in the woods near his property. Investigating,... [More]","Karra Elejalde, Candela Fernández, Bárbara Goenaga, Juan Inciarte",scifi,Timecrimes is a low-budget thriller that's well-crafted and loaded with dark humor and bizarre twists.,Public
Ad Astra,2019,83,James Gray," Thirty years ago, Clifford McBride led a voyage into deep space, but the ship and crew were never heard from... [More]","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland",scifi,Ad Astra takes a visually thrilling journey through the vast reaches of space while charting an ambitious course for the heart of the bond between parent and child.,Public
Westworld,1973,85,Michael Crichton, Westworld is a futuristic theme park where paying guests can pretend to be gunslingers in an artificial Wild West populated... [More],"Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold",scifi,Yul Brynner gives a memorable performance as a robotic cowboy in this amusing sci-fi/western hybrid.,Public
High Life,2018,82,Claire Denis, Monte and his baby daughter are the last survivors of a damned and dangerous mission to the outer reaches of... [More],"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",scifi,"High Life is as visually arresting as it is challenging, confounding, and ultimately rewarding - which is to say it's everything film fans expect from director Claire Denis.",Public
Coherence,2013,88,James Ward Byrkit, Eight friends at a dinner party experience a troubling chain of events due to the malevolent influence of a passing... [More],"Hugo Armstrong, Emily Baldoni, Nicholas Brendon, Elizabeth Gracen",scifi,"A case study in less-is-more filmmaking, Coherence serves as a compelling low-budget calling card for debuting writer-director James Ward Byrkit.",Public
The Rocky Horror Picture Show,1975,78,Jim Sharman," In this cult classic, sweethearts Brad (Barry Bostwick) and Janet (Susan Sarandon), stuck with a flat tire during a storm,... [More]","Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien",scifi,"Rocky Horror Picture Show brings its quirky characters in tight, but it's the narrative thrust that really drives audiences insane and keeps 'em doing the time warp again.",Public
Midnight Special,2016,83,Jeff Nichols," The government and a group of religious extremists pursue a man (Michael Shannon) and his son (Jaeden Lieberher), a young... [More]","Michael Shannon, Joel Edgerton, Kirsten Dunst, Jaeden Lieberher",scifi,"Midnight Special's intriguing mysteries may not resolve themselves to every viewer's liking, but the journey is ambitious, entertaining, and terrifically acted.",Public
Wizards,1977,62,Ralph Bakshi," After the death of his mother, the evil mutant wizard Blackwolf (Steve Gravers) discovers some long-lost military technologies. Full of... [More]","Bob Holt, Jesse Welles, Richard Romanus, David Proval",scifi,"Its central metaphor is a bit too on the nose, but Wizards is an otherwise psychedelic, freaky trip into an alternate version of our world.",Public
Annihilation,2018,88,Alex Garland," Lena, a biologist and former soldier, joins a mission to uncover what happened to her husband inside Area X --... [More]","Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson",scifi,Annihilation backs up its sci-fi visual wonders and visceral genre thrills with an impressively ambitious -- and surprisingly strange -- exploration of challenging themes that should leave audiences pondering long after the end credits roll.,Public
Contact,1997,68,Robert Zemeckis," In this Zemeckis-directed adaptation of the Carl Sagan novel, Dr. Ellie Arroway (Jodie Foster) races to interpret a possible message... [More]","Jodie Foster, Matthew McConaughey, James Woods, John Hurt",scifi,"Contact elucidates stirring scientific concepts and theological inquiry at the expense of satisfying storytelling, making for a brainy blockbuster that engages with its ideas, if not its characters.",Public
The Congress,2013,73,Ari Folman, An aging actress agrees to preserve her digital likeness for a studio to use in any future films it likes.... [More],"Robin Wright, Harvey Keitel, Jon Hamm, Paul Giamatti",scifi,"The Congress rises on the strength of Robin Wright's powerful performance, with enough ambitious storytelling and technical thrills to overcome its somewhat messy structure.",Public
Flight of the Navigator,1986,84,Randal Kleiser," This 1978 Disney adventure tells the story of 12-year-old David (Joey Cramer) who lives with his family in Fort Lauderdale,... [More]","Joey Cramer, Veronica Cartwright, Cliff De Young, Sarah Jessica Parker",scifi,"Bolstered by impressive special effects and a charming performance from its young star, Flight of the Navigator holds up as a solidly entertaining bit of family-friendly sci-fi.",Public
Little Shop of Horrors,1986,90,Frank Oz," Meek flower shop assistant Seymour (Rick Moranis) pines for co-worker Audrey (Ellen Greene). During a total eclipse, he discovers an... [More]","Rick Moranis, Ellen Greene, Steve Martin, Vincent Gardenia",scifi,"Remixing Roger Corman's B-movie by way of the Off-Broadway musical, Little Shop of Horrors offers camp, horror and catchy tunes in equal measure -- plus some inspired cameos by the likes of Steve Martin and Bill Murray.",Public
Alita: Battle Angel,2019,61,Robert Rodriguez," Set several centuries in the future, the abandoned Alita is found in the scrapyard of Iron City by Ido, a... [More]","Rosa Salazar, Christoph Waltz, Keean Johnson, Mahershala Ali",scifi,"Alita: Battle Angel's story struggles to keep up with its special effects, but fans of futuristic sci-fi action may still find themselves more than sufficiently entertained.",Public
Ready Player One,2018,72,Steven Spielberg," In 2045, the planet is on the brink of chaos and collapse, but people find salvation in the OASIS, an... [More]","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",scifi,Ready Player One is a sweetly nostalgic thrill ride that neatly encapsulates Spielberg's strengths while adding another solidly engrossing adventure to his filmography.,Public
Plan 9 From Outer Space,1959,66,Edward D. Wood Jr.," Residents of California's San Fernando Valley are under attack by flying saucers from outer space. The aliens, led by Eros... [More]","Bela Lugosi, Vampira, Tor Johnson, Gregory Walcott",scifi,"The epitome of so-bad-it's-good cinema, Plan 9 From Outer Space is an unintentionally hilarious sci-fi ""thriller"" from anti-genius Ed Wood that is justly celebrated for its staggering ineptitude.",Public
Rollerball,1975,69,Norman Jewison, The year is 2018 in a futuristic society where corporations have replaced countries. A violent futuristic game known as Rollerball... [More],"James Caan, John Houseman, Maud Adams, John Beck",scifi,"In Rollerball, social commentary collides with high-speed action -- and the audience is the winner.",Public
Silent Running,1972,71,Douglas Trumbull," After the end of all botanical life on Earth, ecologist Freeman Lowell (Bruce Dern) maintains a greenhouse on a space... [More]","Bruce Dern, Cliff Potts, Ron Rifkin, Jesse Vint",scifi,"It doesn't fulfill the potential of its ambitious themes, butSilent Running stands as a decidedly unique type of sci-fi journey marked by intimate character work and a melancholic mood.",Public
War of the Worlds,2005,75,Steven Spielberg," Dockworker Ray Ferrier (Tom Cruise) struggles to build a positive relationship with his two children, Rachel (Dakota Fanning) and Robbie... [More]","Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",scifi,Steven Spielberg's adaptation of War of the Worlds delivers on the thrill and paranoia of H.G. Wells' classic novel while impressively updating the action and effects for modern audiences.,Public
